domain_id,domain_name,domain_size
W06000001,Isle of Anglesey,68875
W06000002,Gwynedd,117397
W06000003,Conwy,114741
W06000004,Denbighshire,95816
W06000005,Flintshire,154965
W06000006,Wrexham,135115
W06000008,Ceredigion,71468
W06000009,Pembrokeshire,123366
W06000010,Carmarthenshire,187895
W06000011,Swansea,238500
W06000012,Neath Port Talbot,142290
W06000013,Bridgend,145486
W06000014,Vale of Glamorgan,131935
W06000015,Cardiff,362301
W06000016,Rhondda Cynon Taff,237651
W06000018,Caerphilly,175956
W06000019,Blaenau Gwent,66900
W06000020,Torfaen,92274
W06000021,Monmouthshire,92961
W06000022,Newport,159594
W06000023,Powys,133174
W06000024,Merthyr Tydfil,58847
